CallID,Timestamp,X,Y,IncidentType,Severity,ResponseUnit
393,2025-06-02 08:51:28,13,72,Traffic Accident,Critical,Ambulance
394,2025-01-18 02:39:15,34,81,Other,Moderate,Mixed
395,2025-05-09 03:22:50,65,24,Fire,Moderate,Fire Truck
396,2025-08-06 06:23:17,64,79,Medical Emergency,Critical,Fire Truck
397,2025-01-03 00:38:34,40,5,Traffic Accident,Moderate,Ambulance
398,2025-06-16 03:22:14,97,67,Traffic Accident,Low,Fire Truck
399,2025-07-02 20:55:50,31,95,Fire,Low,Police
400,2025-06-27 18:59:09,92,59,Medical Emergency,Critical,Ambulance
401,2025-08-04 08:57:08,1,59,Traffic Accident,Moderate,Fire Truck
402,2025-02-26 13:03:57,33,9,Traffic Accident,Moderate,Police
403,2025-02-27 02:22:04,30,55,Traffic Accident,Moderate,Ambulance
404,2025-09-16 10:41:51,20,72,Medical Emergency,Moderate,Ambulance
405,2025-08-28 20:25:12,15,96,Fire,Low,Police
406,2025-06-03 23:52:43,51,92,Medical Emergency,Moderate,Ambulance
407,2025-01-27 22:09:56,62,62,Fire,Critical,Ambulance
408,2025-07-01 09:33:12,91,85,Medical Emergency,Low,Police
409,2025-02-08 07:54:20,54,1,Traffic Accident,Moderate,Police
410,2025-06-03 23:38:30,20,9,Medical Emergency,Critical,Fire Truck
411,2025-07-05 10:43:44,12,84,Medical Emergency,Moderate,Ambulance
412,2025-07-09 09:12:35,44,31,Fire,Critical,Fire Truck
413,2025-06-02 18:53:40,62,20,Medical Emergency,Critical,Ambulance
414,2025-05-15 18:28:24,67,33,Traffic Accident,Low,Ambulance
415,2025-01-27 13:58:05,92,51,Medical Emergency,Moderate,Mixed
416,2025-06-28 06:04:41,63,16,Medical Emergency,Low,Police
417,2025-02-18 06:33:08,47,28,Traffic Accident,Low,Ambulance
418,2025-05-12 19:15:45,20,27,Medical Emergency,Moderate,Police
419,2025-07-22 20:04:31,71,48,Medical Emergency,Critical,Fire Truck
420,2025-05-11 08:25:30,82,68,Medical Emergency,Moderate,Fire Truck
421,2025-09-28 14:20:31,76,71,Traffic Accident,Low,Ambulance
422,2025-04-02 12:38:15,23,98,Traffic Accident,Low,Police
423,2025-09-17 07:03:57,57,30,Traffic Accident,Moderate,Police
424,2025-05-06 22:35:17,6,27,Traffic Accident,Moderate,Fire Truck
425,2025-05-29 12:14:51,95,7,Traffic Accident,Critical,Ambulance
426,2025-06-10 13:11:24,91,80,Traffic Accident,Low,Fire Truck
427,2025-02-22 22:28:38,65,78,Traffic Accident,Critical,Fire Truck
428,2025-08-05 20:01:11,77,40,Other,Moderate,Police
429,2025-03-28 14:54:52,9,20,Traffic Accident,Moderate,Ambulance
430,2025-09-15 22:19:26,12,52,Other,Moderate,Fire Truck
431,2025-07-07 04:02:29,97,10,Traffic Accident,Critical,Fire Truck
432,2025-02-04 05:34:45,72,24,Traffic Accident,Moderate,Ambulance
433,2025-02-24 19:34:32,21,29,Other,Moderate,Ambulance
434,2025-02-22 23:09:57,20,98,Medical Emergency,Moderate,Police
435,2025-07-01 16:07:45,11,46,Traffic Accident,Low,Ambulance
436,2025-05-03 05:20:14,7,45,Medical Emergency,Low,Fire Truck
437,2025-04-19 14:12:08,74,85,Medical Emergency,Moderate,Fire Truck
438,2025-06-07 14:22:48,12,81,Traffic Accident,Moderate,Ambulance
439,2025-06-24 18:34:46,49,94,Fire,Critical,Ambulance
440,2025-09-25 03:28:13,21,42,Medical Emergency,Low,Fire Truck
441,2025-02-13 01:36:16,18,22,Medical Emergency,Low,Fire Truck
442,2025-04-27 17:02:18,7,57,Traffic Accident,Moderate,Police
443,2025-02-22 00:32:23,64,3,Traffic Accident,Moderate,Police
444,2025-07-30 16:27:00,88,9,Medical Emergency,Low,Fire Truck
445,2025-02-15 08:42:18,65,40,Traffic Accident,Moderate,Fire Truck
446,2025-02-10 08:14:45,89,57,Traffic Accident,Low,Ambulance
447,2025-02-04 05:09:24,33,52,Traffic Accident,Moderate,Ambulance
448,2025-07-02 02:24:20,69,55,Fire,Critical,Ambulance
449,2025-07-21 12:05:53,3,19,Medical Emergency,Moderate,Ambulance
450,2025-04-06 11:08:02,84,53,Medical Emergency,Critical,Fire Truck
451,2025-09-03 17:07:06,3,59,Medical Emergency,Critical,Fire Truck
452,2025-01-10 10:48:58,3,92,Medical Emergency,Critical,Fire Truck
453,2025-01-20 17:42:35,54,3,Traffic Accident,Moderate,Fire Truck
454,2025-09-02 09:58:26,18,30,Traffic Accident,Moderate,Fire Truck
455,2025-08-19 02:18:01,82,21,Medical Emergency,Low,Mixed
456,2025-04-23 20:20:21,30,99,Fire,Moderate,Ambulance
457,2025-04-16 18:24:23,54,54,Traffic Accident,Moderate,Ambulance
458,2025-06-17 12:12:51,91,46,Other,Low,Fire Truck
459,2025-01-01 10:03:27,16,69,Medical Emergency,Low,Ambulance
460,2025-02-07 07:28:25,69,46,Medical Emergency,Moderate,Fire Truck
461,2025-09-16 08:31:00,15,68,Traffic Accident,Moderate,Ambulance
462,2025-04-12 18:01:11,76,93,Medical Emergency,Moderate,Fire Truck
463,2025-04-02 14:23:03,50,18,Traffic Accident,Moderate,Police
464,2025-04-22 19:14:10,92,63,Traffic Accident,Low,Ambulance
465,2025-05-07 00:10:48,4,99,Traffic Accident,Critical,Police
466,2025-09-17 18:16:38,34,0,Medical Emergency,Critical,Ambulance
467,2025-08-26 15:44:47,45,59,Traffic Accident,Moderate,Mixed
468,2025-07-07 07:17:09,88,35,Traffic Accident,Moderate,Ambulance
469,2025-01-08 16:03:41,85,91,Traffic Accident,Moderate,Police
470,2025-06-05 17:40:34,9,79,Traffic Accident,Moderate,Police
471,2025-06-03 02:25:03,69,43,Traffic Accident,Low,Ambulance
472,2025-01-12 06:04:46,81,56,Traffic Accident,Moderate,Police
473,2025-07-02 23:43:30,69,14,Traffic Accident,Moderate,Mixed
474,2025-06-29 06:45:06,14,47,Other,Critical,Ambulance
475,2025-01-01 20:15:44,13,56,Fire,Low,Ambulance
476,2025-02-03 20:40:23,86,89,Traffic Accident,Moderate,Ambulance
477,2025-04-23 22:09:57,84,11,Traffic Accident,Critical,Ambulance
478,2025-04-16 12:30:59,67,70,Medical Emergency,Moderate,Mixed
479,2025-04-18 12:19:53,60,97,Fire,Moderate,Police
480,2025-05-28 16:20:49,48,16,Medical Emergency,Moderate,Police
481,2025-03-28 13:32:14,73,84,Traffic Accident,Moderate,Ambulance
482,2025-04-26 00:30:45,73,97,Medical Emergency,Moderate,Police
483,2025-02-21 14:42:27,75,87,Medical Emergency,Critical,Ambulance
484,2025-09-25 20:18:55,98,63,Medical Emergency,Moderate,Ambulance
485,2025-09-15 01:13:42,20,19,Fire,Low,Police
486,2025-02-12 11:49:17,14,84,Medical Emergency,Critical,Ambulance
487,2025-04-08 07:20:11,39,57,Medical Emergency,Moderate,Fire Truck
488,2025-04-17 00:50:23,2,71,Traffic Accident,Moderate,Police
489,2025-01-13 12:09:51,38,51,Fire,Moderate,Ambulance
490,2025-06-18 17:01:12,68,50,Traffic Accident,Critical,Ambulance
491,2025-07-27 02:52:05,91,40,Fire,Moderate,Police
492,2025-08-13 12:06:25,46,14,Other,Moderate,Ambulance
493,2025-07-07 00:16:23,83,69,Medical Emergency,Moderate,Police
494,2025-09-12 09:15:40,2,26,Traffic Accident,Low,Ambulance
495,2025-08-21 11:19:03,0,7,Medical Emergency,Moderate,Ambulance
496,2025-09-14 01:40:41,3,93,Medical Emergency,Critical,Police
497,2025-03-15 12:28:08,11,10,Fire,Low,Ambulance
498,2025-05-28 09:55:11,20,29,Medical Emergency,Critical,Police
499,2025-06-07 16:06:58,94,58,Traffic Accident,Critical,Fire Truck
500,2025-09-29 15:00:07,96,67,Medical Emergency,Low,Ambulance
501,2025-09-14 21:12:03,4,98,Traffic Accident,Low,Police
502,2025-01-05 14:52:05,49,5,Medical Emergency,Moderate,Ambulance
503,2025-07-24 19:12:25,46,72,Traffic Accident,Moderate,Police
504,2025-07-20 02:26:40,91,29,Traffic Accident,Low,Police
505,2025-07-25 10:19:19,61,32,Traffic Accident,Critical,Ambulance
506,2025-07-19 08:37:15,46,81,Medical Emergency,Moderate,Fire Truck
507,2025-06-16 06:10:31,21,16,Medical Emergency,Moderate,Mixed
508,2025-05-06 16:04:45,34,32,Traffic Accident,Moderate,Ambulance
509,2025-03-07 14:38:14,39,27,Medical Emergency,Critical,Fire Truck
510,2025-06-24 04:43:56,0,71,Traffic Accident,Critical,Ambulance
511,2025-04-19 23:14:35,57,24,Traffic Accident,Moderate,Ambulance
512,2025-03-29 17:05:14,56,52,Medical Emergency,Low,Police
513,2025-03-23 22:02:43,38,8,Medical Emergency,Moderate,Ambulance
514,2025-07-29 18:18:30,96,5,Medical Emergency,Moderate,Ambulance
515,2025-03-24 14:26:23,45,37,Traffic Accident,Moderate,Ambulance
516,2025-05-07 11:22:39,18,29,Medical Emergency,Moderate,Ambulance
517,2025-03-27 08:28:10,39,87,Traffic Accident,Low,Ambulance
518,2025-02-26 19:48:56,82,50,Medical Emergency,Moderate,Police
519,2025-07-18 15:39:10,44,70,Medical Emergency,Moderate,Fire Truck
520,2025-06-18 15:45:55,18,46,Fire,Moderate,Ambulance
521,2025-05-23 07:54:00,35,39,Traffic Accident,Critical,Fire Truck
522,2025-07-06 03:45:19,51,88,Medical Emergency,Critical,Ambulance
523,2025-06-17 11:22:48,77,93,Fire,Critical,Police
524,2025-06-23 07:32:33,1,85,Medical Emergency,Critical,Ambulance
525,2025-08-05 16:04:43,92,61,Medical Emergency,Critical,Fire Truck
526,2025-04-20 08:25:19,63,49,Fire,Moderate,Ambulance
527,2025-02-08 23:15:06,66,43,Traffic Accident,Critical,Mixed
528,2025-01-09 14:28:18,67,34,Medical Emergency,Low,Fire Truck
529,2025-07-19 05:48:30,44,86,Fire,Moderate,Ambulance
530,2025-06-15 22:34:32,46,14,Medical Emergency,Low,Ambulance
531,2025-07-11 12:12:58,20,50,Fire,Low,Fire Truck
532,2025-05-23 08:30:51,54,70,Traffic Accident,Moderate,Police
533,2025-01-29 01:49:58,66,85,Traffic Accident,Moderate,Ambulance
534,2025-08-21 08:49:59,0,71,Medical Emergency,Critical,Ambulance
535,2025-03-12 22:59:53,16,60,Fire,Critical,Ambulance
536,2025-06-30 12:40:09,64,56,Traffic Accident,Moderate,Ambulance
537,2025-01-11 18:30:51,34,47,Traffic Accident,Moderate,Fire Truck
538,2025-07-21 01:11:40,48,45,Traffic Accident,Low,Police
539,2025-04-29 08:55:02,96,89,Fire,Moderate,Ambulance
540,2025-08-07 03:35:47,53,8,Medical Emergency,Moderate,Police
541,2025-05-07 02:36:26,20,50,Medical Emergency,Moderate,Ambulance
542,2025-01-26 04:00:38,63,10,Traffic Accident,Moderate,Mixed
543,2025-05-15 20:55:55,44,0,Traffic Accident,Low,Police
544,2025-03-14 20:49:16,60,11,Medical Emergency,Moderate,Police
545,2025-03-23 01:44:54,91,68,Traffic Accident,Moderate,Ambulance
546,2025-04-29 01:57:38,46,86,Traffic Accident,Low,Ambulance
547,2025-02-10 11:35:04,67,93,Medical Emergency,Moderate,Ambulance
548,2025-06-30 22:22:57,27,39,Medical Emergency,Critical,Ambulance
549,2025-08-30 17:23:47,14,40,Other,Moderate,Fire Truck
550,2025-08-23 09:22:42,65,50,Fire,Critical,Fire Truck
551,2025-04-29 16:22:40,72,38,Medical Emergency,Low,Ambulance
552,2025-08-26 10:10:04,1,92,Traffic Accident,Moderate,Ambulance
553,2025-04-19 17:04:52,80,40,Fire,Moderate,Ambulance
554,2025-01-14 05:57:41,44,78,Traffic Accident,Critical,Fire Truck
555,2025-02-18 03:26:05,94,24,Medical Emergency,Moderate,Police
556,2025-07-26 09:41:28,53,17,Fire,Critical,Fire Truck
557,2025-09-18 05:48:34,29,59,Traffic Accident,Moderate,Ambulance
558,2025-09-16 03:37:38,43,78,Medical Emergency,Critical,Police
559,2025-07-31 12:14:54,31,56,Traffic Accident,Moderate,Fire Truck
560,2025-03-30 07:39:32,33,55,Traffic Accident,Moderate,Ambulance
561,2025-05-12 02:47:03,64,64,Other,Moderate,Fire Truck
562,2025-06-18 19:42:39,17,91,Traffic Accident,Moderate,Police
563,2025-08-01 23:38:52,10,48,Traffic Accident,Low,Fire Truck
564,2025-02-17 01:52:01,47,55,Other,Moderate,Fire Truck
565,2025-07-27 11:48:31,49,68,Traffic Accident,Low,Fire Truck
566,2025-02-24 20:10:51,44,3,Traffic Accident,Moderate,Mixed
567,2025-01-05 08:46:50,90,50,Traffic Accident,Low,Ambulance
568,2025-07-08 09:49:43,29,41,Other,Critical,Mixed
569,2025-03-22 08:41:11,34,86,Fire,Low,Fire Truck
570,2025-08-03 10:33:50,28,76,Medical Emergency,Critical,Ambulance
571,2025-03-14 00:47:32,95,21,Fire,Critical,Fire Truck
572,2025-07-25 21:54:39,33,85,Traffic Accident,Low,Ambulance
573,2025-04-07 06:54:27,97,31,Medical Emergency,Critical,Fire Truck
574,2025-01-15 01:08:53,20,43,Medical Emergency,Moderate,Ambulance
575,2025-08-28 06:30:34,62,23,Other,Critical,Police
576,2025-06-08 15:38:44,99,50,Medical Emergency,Low,Ambulance
577,2025-03-15 16:55:02,85,23,Medical Emergency,Moderate,Ambulance
578,2025-01-14 03:11:24,27,4,Fire,Moderate,Ambulance
579,2025-07-08 12:18:35,63,90,Other,Low,Fire Truck
580,2025-08-08 04:39:35,11,20,Medical Emergency,Moderate,Ambulance
581,2025-04-04 04:27:05,55,19,Fire,Critical,Mixed
582,2025-09-11 00:27:28,18,25,Other,Moderate,Police
583,2025-05-03 23:50:05,54,99,Traffic Accident,Moderate,Police
584,2025-08-14 15:26:25,14,26,Fire,Moderate,Fire Truck
585,2025-08-19 21:27:50,50,52,Other,Moderate,Police
586,2025-01-12 18:12:46,3,6,Other,Moderate,Ambulance
587,2025-06-19 21:55:53,44,80,Medical Emergency,Moderate,Ambulance
588,2025-08-11 12:55:57,62,37,Traffic Accident,Critical,Mixed
589,2025-03-23 18:27:33,60,30,Medical Emergency,Low,Mixed
590,2025-04-22 14:55:57,85,42,Medical Emergency,Moderate,Fire Truck
591,2025-03-23 16:45:52,20,79,Medical Emergency,Moderate,Police
592,2025-04-18 13:08:38,29,56,Medical Emergency,Low,Ambulance
593,2025-09-30 07:30:10,25,70,Traffic Accident,Critical,Ambulance
594,2025-01-31 17:43:07,36,0,Traffic Accident,Critical,Mixed
595,2025-09-04 19:54:24,59,72,Medical Emergency,Low,Fire Truck
596,2025-07-21 21:27:31,22,8,Medical Emergency,Moderate,Fire Truck
597,2025-04-08 21:23:31,94,74,Traffic Accident,Critical,Police
598,2025-07-29 20:19:45,44,95,Traffic Accident,Low,Fire Truck
599,2025-09-27 21:57:58,15,65,Traffic Accident,Moderate,Police
600,2025-05-19 21:13:40,15,59,Traffic Accident,Low,Fire Truck
601,2025-09-12 11:19:01,30,33,Traffic Accident,Low,Mixed
602,2025-06-22 21:02:43,54,26,Traffic Accident,Moderate,Police
603,2025-03-07 13:25:55,16,29,Other,Moderate,Ambulance
604,2025-04-01 21:03:17,56,24,Traffic Accident,Low,Fire Truck
605,2025-09-29 10:35:06,61,73,Fire,Moderate,Ambulance
606,2025-01-01 21:18:37,31,13,Fire,Moderate,Ambulance
607,2025-07-17 23:58:14,78,21,Fire,Critical,Mixed
608,2025-08-04 16:44:02,7,81,Fire,Critical,Police
609,2025-03-09 04:01:44,97,74,Traffic Accident,Moderate,Ambulance
610,2025-01-31 17:45:01,92,25,Medical Emergency,Moderate,Police
611,2025-03-08 20:49:45,87,49,Fire,Moderate,Mixed
612,2025-01-16 18:09:30,63,28,Other,Low,Ambulance
613,2025-07-19 11:36:09,8,26,Medical Emergency,Moderate,Mixed
614,2025-08-23 10:58:54,50,12,Fire,Moderate,Mixed
615,2025-04-04 22:38:04,50,36,Traffic Accident,Critical,Fire Truck
616,2025-01-01 13:22:35,59,90,Medical Emergency,Moderate,Ambulance
617,2025-04-10 07:26:04,84,20,Medical Emergency,Critical,Ambulance
618,2025-08-09 13:06:44,10,16,Medical Emergency,Low,Ambulance
619,2025-04-15 19:32:31,83,82,Medical Emergency,Low,Ambulance
620,2025-01-20 02:23:47,47,27,Medical Emergency,Moderate,Ambulance
621,2025-01-08 23:07:30,77,98,Traffic Accident,Critical,Police
622,2025-08-11 22:55:03,81,12,Fire,Low,Ambulance
623,2025-04-11 14:33:50,37,74,Medical Emergency,Moderate,Police
624,2025-05-20 21:09:28,86,44,Traffic Accident,Moderate,Mixed
625,2025-07-04 16:17:19,35,17,Medical Emergency,Low,Ambulance
626,2025-02-28 05:59:11,27,53,Traffic Accident,Low,Ambulance
627,2025-02-04 03:32:39,98,12,Traffic Accident,Critical,Fire Truck
628,2025-03-05 16:19:55,43,46,Medical Emergency,Critical,Ambulance
629,2025-09-01 23:49:23,23,1,Traffic Accident,Critical,Ambulance
630,2025-06-09 10:54:33,24,2,Fire,Moderate,Fire Truck
631,2025-01-02 22:39:06,23,28,Fire,Low,Fire Truck
632,2025-06-06 16:26:05,64,83,Fire,Moderate,Ambulance
633,2025-04-25 15:22:18,91,57,Medical Emergency,Moderate,Ambulance
634,2025-05-19 02:18:51,46,93,Traffic Accident,Critical,Ambulance
635,2025-09-13 06:45:00,95,24,Medical Emergency,Moderate,Ambulance
636,2025-08-10 12:40:36,11,15,Fire,Moderate,Fire Truck
637,2025-09-01 19:43:51,99,50,Traffic Accident,Low,Police
638,2025-09-18 05:23:44,88,71,Traffic Accident,Critical,Police
639,2025-06-28 20:44:38,28,28,Traffic Accident,Moderate,Police
640,2025-02-28 05:37:33,86,43,Traffic Accident,Low,Mixed
641,2025-03-28 23:40:10,4,55,Other,Moderate,Mixed
642,2025-05-19 08:17:52,27,21,Traffic Accident,Moderate,Ambulance
643,2025-07-17 14:54:47,56,25,Medical Emergency,Moderate,Ambulance
644,2025-04-21 00:39:29,76,52,Fire,Low,Ambulance
645,2025-01-02 06:28:26,74,64,Traffic Accident,Low,Ambulance
646,2025-07-07 19:27:10,59,56,Medical Emergency,Low,Ambulance
647,2025-02-24 12:27:45,4,83,Medical Emergency,Moderate,Ambulance
648,2025-08-18 13:17:15,49,37,Fire,Moderate,Fire Truck
649,2025-01-23 11:58:46,20,45,Traffic Accident,Moderate,Police
650,2025-05-20 07:40:57,81,77,Fire,Moderate,Ambulance
651,2025-03-24 00:58:52,93,5,Fire,Moderate,Ambulance
652,2025-04-11 16:03:23,32,80,Other,Low,Police
653,2025-08-26 04:56:36,27,69,Traffic Accident,Moderate,Ambulance
654,2025-02-07 04:23:38,55,63,Other,Moderate,Ambulance
655,2025-04-29 08:02:01,88,17,Fire,Critical,Fire Truck
656,2025-01-11 08:54:52,25,5,Traffic Accident,Low,Mixed
657,2025-09-14 08:44:32,97,16,Other,Moderate,Mixed
658,2025-02-14 10:54:27,7,12,Medical Emergency,Low,Ambulance
659,2025-06-21 23:15:56,93,64,Fire,Low,Mixed
660,2025-06-22 04:48:04,85,92,Fire,Critical,Ambulance
661,2025-05-02 16:40:35,91,27,Traffic Accident,Moderate,Ambulance
662,2025-03-09 15:40:24,65,54,Medical Emergency,Critical,Ambulance
663,2025-03-24 23:20:33,92,66,Medical Emergency,Critical,Mixed
664,2025-04-30 13:58:53,53,26,Other,Moderate,Fire Truck
665,2025-07-24 23:03:33,70,66,Traffic Accident,Low,Mixed
666,2025-06-01 03:43:40,90,89,Traffic Accident,Low,Ambulance
667,2025-03-30 15:01:18,83,52,Traffic Accident,Moderate,Ambulance
668,2025-08-23 16:53:01,57,25,Other,Critical,Fire Truck
669,2025-06-14 12:20:50,74,40,Traffic Accident,Critical,Ambulance
670,2025-06-17 02:17:09,97,40,Other,Moderate,Ambulance
671,2025-05-13 18:57:13,50,20,Fire,Low,Ambulance
672,2025-09-15 13:57:47,59,70,Medical Emergency,Low,Police
673,2025-09-11 09:46:21,20,77,Medical Emergency,Moderate,Ambulance
674,2025-03-17 00:00:10,92,7,Traffic Accident,Moderate,Police
675,2025-02-17 21:49:17,27,90,Traffic Accident,Low,Fire Truck
676,2025-09-14 07:47:28,66,23,Medical Emergency,Critical,Police
677,2025-08-22 04:08:07,92,23,Traffic Accident,Low,Fire Truck
678,2025-09-03 14:11:43,48,86,Traffic Accident,Moderate,Mixed
679,2025-08-08 20:43:00,94,52,Medical Emergency,Critical,Ambulance
680,2025-01-02 08:19:05,53,69,Traffic Accident,Low,Ambulance
681,2025-07-09 22:17:11,37,84,Traffic Accident,Moderate,Ambulance
682,2025-06-08 15:15:55,46,67,Other,Moderate,Fire Truck
683,2025-08-09 10:34:14,40,68,Medical Emergency,Moderate,Police
684,2025-04-25 00:12:52,24,26,Traffic Accident,Critical,Ambulance
685,2025-08-23 03:02:02,46,99,Other,Low,Ambulance
686,2025-06-28 02:11:25,20,71,Medical Emergency,Critical,Fire Truck
687,2025-04-18 21:14:30,73,31,Traffic Accident,Low,Fire Truck
688,2025-01-25 04:15:40,10,95,Traffic Accident,Moderate,Fire Truck
689,2025-01-26 12:18:22,51,24,Traffic Accident,Moderate,Police
690,2025-03-15 19:09:07,62,88,Traffic Accident,Low,Ambulance
691,2025-09-05 09:22:35,65,14,Medical Emergency,Moderate,Mixed
692,2025-05-06 17:59:07,22,38,Medical Emergency,Moderate,Ambulance
693,2025-01-29 06:35:00,40,92,Traffic Accident,Moderate,Fire Truck
694,2025-08-16 11:16:41,2,80,Medical Emergency,Low,Fire Truck
695,2025-08-18 08:38:33,54,63,Fire,Moderate,Ambulance
696,2025-05-30 12:53:18,31,95,Medical Emergency,Moderate,Ambulance
697,2025-09-18 19:07:04,34,77,Medical Emergency,Low,Ambulance
698,2025-07-16 14:11:36,3,87,Medical Emergency,Low,Fire Truck
699,2025-02-11 08:28:32,48,39,Traffic Accident,Moderate,Police
700,2025-08-10 09:10:57,5,12,Other,Low,Mixed
701,2025-02-07 23:21:36,79,42,Medical Emergency,Critical,Ambulance
702,2025-06-27 08:23:13,22,1,Medical Emergency,Moderate,Police
703,2025-06-16 00:18:29,6,77,Medical Emergency,Moderate,Police
704,2025-09-15 19:46:54,82,50,Traffic Accident,Moderate,Ambulance
705,2025-05-14 14:47:34,11,52,Traffic Accident,Moderate,Fire Truck
706,2025-01-07 21:26:20,96,4,Medical Emergency,Moderate,Ambulance
707,2025-06-06 08:48:40,58,32,Traffic Accident,Moderate,Fire Truck
708,2025-02-23 16:09:35,68,65,Traffic Accident,Moderate,Mixed
709,2025-07-16 19:56:17,83,53,Medical Emergency,Critical,Police
710,2025-08-29 11:44:51,53,92,Traffic Accident,Moderate,Ambulance
711,2025-02-09 09:42:11,73,56,Traffic Accident,Moderate,Mixed
712,2025-03-04 21:10:32,65,5,Fire,Low,Fire Truck
713,2025-05-30 20:21:18,81,89,Fire,Moderate,Fire Truck
714,2025-03-07 22:43:30,70,2,Traffic Accident,Moderate,Ambulance
715,2025-07-23 14:53:54,23,73,Medical Emergency,Critical,Fire Truck
716,2025-06-18 08:25:23,90,28,Other,Critical,Ambulance
717,2025-03-08 19:43:12,19,18,Medical Emergency,Moderate,Ambulance
718,2025-05-14 16:24:19,33,21,Other,Moderate,Fire Truck
719,2025-04-22 15:47:06,96,95,Medical Emergency,Moderate,Ambulance
720,2025-05-17 18:49:24,1,28,Traffic Accident,Critical,Ambulance
721,2025-01-01 09:05:04,52,78,Traffic Accident,Low,Ambulance
722,2025-02-06 17:25:45,21,99,Medical Emergency,Moderate,Ambulance
723,2025-03-01 04:52:04,44,67,Other,Moderate,Mixed
724,2025-05-27 19:04:33,9,35,Medical Emergency,Moderate,Police
725,2025-05-17 14:41:05,5,47,Medical Emergency,Moderate,Police
726,2025-03-20 10:21:28,49,34,Medical Emergency,Critical,Police
727,2025-04-28 15:46:51,14,3,Fire,Low,Ambulance
728,2025-04-25 14:16:43,91,16,Fire,Moderate,Police
729,2025-08-04 18:16:00,39,38,Traffic Accident,Low,Police
730,2025-08-17 14:12:47,46,62,Traffic Accident,Critical,Ambulance
731,2025-08-18 10:46:20,33,39,Traffic Accident,Moderate,Ambulance
732,2025-09-03 23:10:06,32,74,Fire,Moderate,Ambulance
733,2025-07-28 11:18:28,81,37,Traffic Accident,Moderate,Ambulance
734,2025-06-01 16:47:08,45,2,Medical Emergency,Low,Police
735,2025-03-22 05:44:47,7,50,Medical Emergency,Moderate,Ambulance
736,2025-01-10 04:24:21,88,38,Traffic Accident,Moderate,Police
737,2025-08-31 14:22:26,8,81,Medical Emergency,Moderate,Fire Truck
738,2025-07-31 02:48:19,59,39,Fire,Moderate,Mixed
739,2025-02-04 19:51:09,91,17,Medical Emergency,Moderate,Ambulance
740,2025-08-29 19:19:50,56,76,Traffic Accident,Moderate,Ambulance
741,2025-01-18 18:04:56,53,87,Other,Critical,Police
742,2025-09-28 16:58:26,77,37,Medical Emergency,Moderate,Ambulance
743,2025-03-09 10:20:16,28,4,Medical Emergency,Low,Police
744,2025-07-14 21:22:48,66,46,Medical Emergency,Critical,Ambulance
745,2025-06-05 13:03:29,67,11,Traffic Accident,Moderate,Fire Truck
746,2025-04-30 06:02:03,20,60,Traffic Accident,Low,Police
747,2025-03-19 12:35:11,54,45,Other,Low,Ambulance
748,2025-03-14 16:03:19,48,57,Other,Low,Ambulance
749,2025-05-08 23:19:12,8,5,Fire,Moderate,Ambulance
750,2025-05-21 22:09:49,4,41,Medical Emergency,Moderate,Ambulance
751,2025-06-30 15:32:33,29,56,Traffic Accident,Moderate,Ambulance
752,2025-02-13 05:44:09,86,12,Medical Emergency,Moderate,Ambulance
753,2025-03-02 02:03:20,44,16,Medical Emergency,Low,Fire Truck
754,2025-06-21 04:30:51,17,93,Traffic Accident,Critical,Ambulance
755,2025-08-31 11:54:57,31,41,Medical Emergency,Critical,Fire Truck
756,2025-04-09 07:56:12,35,33,Fire,Moderate,Ambulance
757,2025-02-06 08:43:09,46,18,Traffic Accident,Low,Fire Truck
758,2025-09-26 16:02:00,8,46,Medical Emergency,Low,Fire Truck
759,2025-01-14 15:17:04,39,46,Medical Emergency,Moderate,Ambulance
760,2025-07-03 06:29:01,12,0,Medical Emergency,Moderate,Ambulance
761,2025-03-18 21:40:39,48,63,Other,Moderate,Mixed
762,2025-06-02 18:53:15,16,70,Traffic Accident,Low,Fire Truck
763,2025-08-14 18:38:58,57,48,Other,Low,Fire Truck
764,2025-05-04 23:28:28,42,24,Medical Emergency,Moderate,Police
765,2025-01-28 20:29:33,31,25,Traffic Accident,Critical,Police
766,2025-07-20 10:49:12,55,64,Fire,Low,Ambulance
767,2025-07-30 02:14:09,50,70,Fire,Critical,Police
768,2025-02-27 01:52:50,44,14,Fire,Critical,Ambulance
769,2025-08-25 21:14:13,17,50,Traffic Accident,Moderate,Ambulance
770,2025-05-14 08:40:49,5,75,Traffic Accident,Low,Police
771,2025-09-23 06:46:04,56,48,Traffic Accident,Moderate,Police
772,2025-04-12 00:29:58,78,19,Other,Moderate,Ambulance
773,2025-01-15 03:59:48,82,2,Traffic Accident,Moderate,Ambulance
774,2025-03-16 11:56:25,61,3,Fire,Low,Fire Truck
775,2025-02-02 02:20:23,95,90,Traffic Accident,Low,Police
776,2025-03-31 12:20:49,8,91,Medical Emergency,Critical,Ambulance
777,2025-06-25 23:30:22,47,24,Fire,Moderate,Fire Truck
778,2025-07-16 00:31:44,44,61,Medical Emergency,Moderate,Ambulance
779,2025-01-08 15:06:18,82,63,Medical Emergency,Moderate,Fire Truck
780,2025-02-19 09:18:10,91,5,Medical Emergency,Low,Police
781,2025-09-05 21:36:26,2,20,Medical Emergency,Low,Fire Truck
782,2025-01-16 20:46:18,85,61,Traffic Accident,Moderate,Police
783,2025-08-03 13:22:30,53,15,Traffic Accident,Moderate,Ambulance
